               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.035406,             0.11922,                   0,             0.82326,             0.82853,             0.82155,             0.32948,            0.043259,             0.11544,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.035577,             0.12005,                   0,             0.83139,               0.859,             0.84487,             0.34312,            0.042189,             0.11421,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.035001,             0.11836,                   0,             0.83971,              0.8872,             0.86457,               0.369,            0.039709,             0.11391,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,             0.03565,             0.12454,                   0,             0.84307,               0.874,             0.86589,             0.39518,            0.039089,             0.11375,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.035461,             0.12119,                   0,             0.83221,             0.89371,             0.86775,             0.39448,            0.038896,             0.11423,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.036321,             0.12155,                   0,             0.83298,             0.85464,             0.85304,              0.3684,            0.040756,             0.11283,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.035208,             0.11819,                   0,             0.82307,             0.81734,             0.80575,             0.31142,             0.04595,             0.11791,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.036345,             0.12484,                   0,             0.82323,             0.85869,             0.83921,             0.35107,            0.042356,             0.11551,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.035487,              0.1236,                   0,             0.81802,             0.84165,             0.82151,             0.36634,            0.041646,             0.11632,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.036838,             0.12288,                   0,             0.79251,             0.83731,              0.8077,             0.32754,            0.043326,             0.11447,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.035243,             0.11944,                   0,             0.81247,             0.87419,              0.8341,             0.35479,            0.041675,             0.11398,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.034919,             0.12432,                   0,             0.82402,              0.8243,             0.80329,             0.34194,            0.043013,             0.11763,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.034931,             0.12571,                   0,             0.81022,             0.82422,             0.81358,             0.34458,             0.04299,             0.11665,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.035872,             0.11772,                   0,             0.85058,               0.852,             0.83784,             0.35361,            0.041453,             0.11589,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.035094,             0.12259,                   0,             0.81701,             0.89154,             0.84538,             0.36708,             0.04235,             0.11584,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.035056,             0.12496,                   0,             0.81763,             0.88503,              0.8554,             0.38407,            0.040101,             0.11369,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.034815,              0.1214,                   0,             0.85259,             0.84165,             0.84558,              0.3617,            0.041353,             0.11446,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.034706,             0.13137,                   0,             0.82857,             0.83514,             0.82555,             0.33836,            0.042366,              0.1172,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.034484,             0.12093,                   0,             0.84692,             0.87852,             0.86333,             0.39779,             0.03981,             0.11456,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.035594,               0.115,                   0,              0.8278,             0.85683,             0.83364,             0.34364,            0.042846,             0.11491,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.034585,             0.11848,                   0,              0.8612,             0.84791,             0.85509,             0.36548,             0.04205,             0.11375,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.034563,             0.11867,                   0,             0.80796,             0.87636,             0.84025,             0.35005,            0.041585,             0.11487,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.034658,             0.11928,                   0,             0.84109,             0.85033,             0.84184,             0.36253,            0.041372,             0.11373,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,             0.03396,              0.1215,                   0,             0.83636,             0.87586,             0.85425,             0.37309,            0.039891,             0.11359,                   0,           0.0067528,           0.0067528,           0.0067528
